velocity_X,Y,agent_skin,velocity_Z,X,pitch,yaw,Z,velocity_Y,tick,steamid,name
0.0,2191.7769,customplayer_ct_map_based,0.0,83.624,1.4309692,-156.7526,-124.53638,0.0,14,76561199557907229,shawty#)$@
-0.015625,1964.0638,customplayer_t_map_based,-143.0,489.93484,79.59836,55.548584,135.375,171.10938,14,76561198049602148,Moon
10.513672,2333.4607,customplayer_ct_map_based,14.582031,358.89417,-0.1387024,-154.91272,-119.26959,-21.875,14,76561199068251294,prosto bo$$
0.0,-470.3335,customplayer_t_map_based,0.0,-250.9367,9.627457,144.14029,9.03125,0.0,14,76561198171814417,Faat
0.0,1917.5593,customplayer_t_map_based,0.0,-529.78925,1.5487366,24.457977,-119.98871,0.0,14,76561199052717313,Worfy
0.0,2439.0117,customplayer_ct_map_based,0.0,182.24991,-4.4731445,-9.340088,-120.96875,0.0,15,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,2010.0741,customplayer_ctm_st6_variantg,0.0,-57.90918,-0.48098755,172.78506,-121.4375,0.0,15,76561199826895670,RME | Пацан
0.0,-808.0,customplayer_t_map_based,0.0,-1015.0,0.0,-177.00005,116.08262,0.0,15,76561198002613044,frees.tyler
0.0,309.48615,customplayer_t_map_based,0.0,-320.05115,4.7279053,96.050385,1.7562447,0.0,15,76561198274174345,zig
0.0,2433.7336,customplayer_ct_map_based,0.0,334.36874,0.0,-129.99985,-120.36255,0.0,15,76561199433997570,Simple Dimple skins.army
0.0,2191.7769,customplayer_ct_map_based,0.0,83.624,1.4309692,-156.7526,-124.53638,0.0,15,76561199557907229,shawty#)$@
-0.015625,1966.7374,customplayer_t_map_based,-156.0,489.9346,79.59836,55.548584,132.73438,171.10938,15,76561198049602148,Moon
7.701172,2333.3015,customplayer_ct_map_based,10.6875,358.97058,-0.1387024,-154.91272,-119.16345,-16.03125,15,76561199068251294,prosto bo$$
0.0,-470.3335,customplayer_t_map_based,0.0,-250.9367,9.627457,144.14029,9.03125,0.0,15,76561198171814417,Faat
0.0,1917.5593,customplayer_t_map_based,0.0,-529.78925,1.5487366,24.457977,-119.98871,0.0,15,76561199052717313,Worfy
0.0,2439.0117,customplayer_ct_map_based,0.0,182.24991,-4.4731445,-9.340088,-120.96875,0.0,16,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,2010.0741,customplayer_ctm_st6_variantg,0.0,-57.90918,-0.48098755,172.78506,-121.4375,0.0,16,76561199826895670,RME | Пацан
0.0,-808.0,customplayer_t_map_based,0.0,-1015.0,0.0,-177.00005,116.08262,0.0,16,76561198002613044,frees.tyler
0.0,309.48615,customplayer_t_map_based,0.0,-320.05115,4.7279053,96.050385,1.7562447,0.0,16,76561198274174345,zig
0.0,2433.7336,customplayer_ct_map_based,0.0,334.36874,0.0,-129.99985,-120.36255,0.0,16,76561199433997570,Simple Dimple skins.army
0.0,2191.7769,customplayer_ct_map_based,0.0,83.624,1.4309692,-156.7526,-124.53638,0.0,16,76561199557907229,shawty#)$@
-0.015625,1969.2896,customplayer_t_map_based,-169.0,489.93436,79.59836,55.548584,132.53125,171.10938,16,76561198049602148,Moon
4.890625,2333.2341,customplayer_ct_map_based,6.7929688,359.003,-0.1387024,-154.91272,-119.11853,-10.1875,16,76561199068251294,prosto bo$$
0.0,-470.3335,customplayer_t_map_based,0.0,-250.9367,9.627457,144.14029,9.03125,0.0,16,76561198171814417,Faat
0.0,1917.5593,customplayer_t_map_based,0.0,-529.78925,1.5487366,24.457977,-119.98871,0.0,16,76561199052717313,Worfy
0.0,2439.0117,customplayer_ct_map_based,0.0,182.24991,-4.4731445,-9.340088,-120.96875,0.0,17,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,2010.0741,customplayer_ctm_st6_variantg,0.0,-57.90918,-0.48098755,172.78506,-121.4375,0.0,17,76561199826895670,RME | Пацан
0.0,-808.0,customplayer_t_map_based,0.0,-1015.0,0.0,-177.00005,116.08262,0.0,17,76561198002613044,frees.tyler
0.0,309.48615,customplayer_t_map_based,0.0,-320.05115,4.7279053,96.050385,1.7562447,0.0,17,76561198274174345,zig
0.0,2433.7336,customplayer_ct_map_based,0.0,334.36874,0.0,-129.99985,-120.36255,0.0,17,76561199433997570,Simple Dimple skins.army
0.0,2191.7769,customplayer_ct_map_based,0.0,83.624,1.4309692,-156.7526,-124.53638,0.0,17,76561199557907229,shawty#)$@
-0.015625,1971.6344,customplayer_t_map_based,-13.0,489.9341,79.59836,55.548584,132.53125,163.33594,17,76561198049602148,Moon
2.0742188,2333.2341,customplayer_ct_map_based,2.875,359.003,-0.1387024,-154.91272,-119.11853,-4.3125,17,76561199068251294,prosto bo$$
0.0,-470.3335,customplayer_t_map_based,0.0,-250.9367,9.627457,144.14029,9.03125,0.0,17,76561198171814417,Faat
0.0,1917.5593,customplayer_t_map_based,0.0,-529.78925,1.5487366,24.457977,-119.98871,0.0,17,76561199052717313,Worfy
0.0,2439.0117,customplayer_ct_map_based,0.0,182.24991,-4.4731445,-9.340088,-120.96875,0.0,18,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,2010.0741,customplayer_ctm_st6_variantg,0.0,-57.90918,-0.48098755,172.78506,-121.4375,0.0,18,76561199826895670,RME | Пацан
0.0,-808.0,customplayer_t_map_based,0.0,-1015.0,0.0,-177.00005,116.08262,0.0,18,76561198002613044,frees.tyler
0.0,309.48615,customplayer_t_map_based,0.0,-320.05115,4.7279053,96.050385,1.7562447,0.0,18,76561198274174345,zig
0.0,2433.7336,customplayer_ct_map_based,0.0,334.36874,0.0,-129.99985,-120.36255,0.0,18,76561199433997570,Simple Dimple skins.army
0.0,2191.7769,customplayer_ct_map_based,0.0,83.624,1.4309692,-156.7526,-124.53638,0.0,18,76561199557907229,shawty#)$@
-0.015625,1973.7886,customplayer_t_map_based,0.0,489.93387,79.59836,55.548584,132.53125,150.07031,18,76561198049602148,Moon
0.0,2333.2341,customplayer_ct_map_based,0.0,359.003,-0.1387024,-154.91272,-119.11853,0.0,18,76561199068251294,prosto bo$$
0.0,-470.3335,customplayer_t_map_based,0.0,-250.9367,9.627457,144.14029,9.03125,0.0,18,76561198171814417,Faat
0.0,1917.5593,customplayer_t_map_based,0.0,-529.78925,1.5487366,24.457977,-119.98871,0.0,18,76561199052717313,Worfy
0.0,2439.0117,customplayer_ct_map_based,0.0,182.24991,-4.4731445,-9.340088,-120.96875,0.0,19,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,2010.0741,customplayer_ctm_st6_variantg,0.0,-57.90918,-0.48098755,172.78506,-121.4375,0.0,19,76561199826895670,RME | Пацан
0.0,-808.0,customplayer_t_map_based,0.0,-1015.0,0.0,-177.00005,116.08262,0.0,19,76561198002613044,frees.tyler
0.0,309.48615,customplayer_t_map_based,0.0,-320.05115,4.7279053,96.050385,1.7562447,0.0,19,76561198274174345,zig
0.0,2433.7336,customplayer_ct_map_based,0.0,334.36874,0.0,-129.99985,-120.36255,0.0,19,76561199433997570,Simple Dimple skins.army
