usercmd_viewangle_y,usercmd_impulse,usercmd_viewangle_x,tick,steamid,name
24.4579,0.0,1.5488039,31,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,32,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,32,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,32,76561198002613044,frees.tyler
96.05051,0.0,4.727787,32,76561198274174345,zig
-129.99985,0.0,0.0,32,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,32,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,32,76561198049602148,Moon
-154.91289,0.0,-0.13860004,32,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,32,76561198171814417,Faat
24.4579,0.0,1.5488039,32,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,33,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,33,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,33,76561198002613044,frees.tyler
96.05051,0.0,4.727787,33,76561198274174345,zig
-129.99985,0.0,0.0,33,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,33,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,33,76561198049602148,Moon
-154.91289,0.0,-0.13860004,33,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,33,76561198171814417,Faat
24.4579,0.0,1.5488039,33,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,34,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,34,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,34,76561198002613044,frees.tyler
96.05051,0.0,4.727787,34,76561198274174345,zig
-129.99985,0.0,0.0,34,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,34,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,34,76561198049602148,Moon
-154.91289,0.0,-0.13860004,34,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,34,76561198171814417,Faat
24.4579,0.0,1.5488039,34,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,35,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,35,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,35,76561198002613044,frees.tyler
96.05051,0.0,4.727787,35,76561198274174345,zig
-129.99985,0.0,0.0,35,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,35,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,35,76561198049602148,Moon
-154.91289,0.0,-0.13860004,35,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,35,76561198171814417,Faat
24.4579,0.0,1.5488039,35,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,36,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,36,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,36,76561198002613044,frees.tyler
96.05051,0.0,4.727787,36,76561198274174345,zig
-129.99985,0.0,0.0,36,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,36,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,36,76561198049602148,Moon
-154.91289,0.0,-0.13860004,36,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,36,76561198171814417,Faat
24.4579,0.0,1.5488039,36,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,37,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,37,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,37,76561198002613044,frees.tyler
96.05051,0.0,4.727787,37,76561198274174345,zig
-129.99985,0.0,0.0,37,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,37,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,37,76561198049602148,Moon
-154.91289,0.0,-0.13860004,37,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,37,76561198171814417,Faat
24.4579,0.0,1.5488039,37,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,38,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,38,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,38,76561198002613044,frees.tyler
96.05051,0.0,4.727787,38,76561198274174345,zig
-129.99985,0.0,0.0,38,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,38,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,38,76561198049602148,Moon
-154.91289,0.0,-0.13860004,38,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,38,76561198171814417,Faat
24.4579,0.0,1.5488039,38,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,39,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,39,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,39,76561198002613044,frees.tyler
96.05051,0.0,4.727787,39,76561198274174345,zig
-129.99985,0.0,0.0,39,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,39,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,39,76561198049602148,Moon
-154.91289,0.0,-0.13860004,39,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,39,76561198171814417,Faat
24.4579,0.0,1.5488039,39,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,40,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,40,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,40,76561198002613044,frees.tyler
96.05051,0.0,4.727787,40,76561198274174345,zig
-129.99985,0.0,0.0,40,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,40,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,40,76561198049602148,Moon
-154.91289,0.0,-0.13860004,40,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,40,76561198171814417,Faat
24.4579,0.0,1.5488039,40,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,41,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,41,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,41,76561198002613044,frees.tyler
96.05051,0.0,4.727787,41,76561198274174345,zig
-129.99985,0.0,0.0,41,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,41,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,41,76561198049602148,Moon
-154.91289,0.0,-0.13860004,41,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,41,76561198171814417,Faat
24.4579,0.0,1.5488039,41,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,42,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,42,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,42,76561198002613044,frees.tyler
96.05051,0.0,4.727787,42,76561198274174345,zig
-129.99985,0.0,0.0,42,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,42,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,42,76561198049602148,Moon
-154.91289,0.0,-0.13860004,42,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,42,76561198171814417,Faat
24.4579,0.0,1.5488039,42,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,43,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,43,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,43,76561198002613044,frees.tyler
96.05051,0.0,4.727787,43,76561198274174345,zig
-129.99985,0.0,0.0,43,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,43,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,43,76561198049602148,Moon
-154.91289,0.0,-0.13860004,43,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,43,76561198171814417,Faat
24.4579,0.0,1.5488039,43,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,44,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,44,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,44,76561198002613044,frees.tyler
96.05051,0.0,4.727787,44,76561198274174345,zig
-129.99985,0.0,0.0,44,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,44,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,44,76561198049602148,Moon
-154.91289,0.0,-0.13860004,44,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,44,76561198171814417,Faat
24.4579,0.0,1.5488039,44,76561199052717313,Worfy
