usercmd_viewangle_y,usercmd_impulse,usercmd_viewangle_x,tick,steamid,name
-39.19677,0.0,2.3992703,144817,76561199068251294,prosto bo$$
93.55712,0.0,4.0413857,144817,76561198171814417,Faat
165.62042,0.0,-4.5759516,144817,76561199052717313,Worfy
,,,144818,76561199256543526,Wybaczam.oficjalnie skins.army
-86.402016,0.0,5.767415,144818,76561199826895670,RME | Пацан
,,,144818,76561198002613044,frees.tyler
,,,144818,76561198274174345,zig
,,,144818,76561199433997570,Simple Dimple skins.army
,,,144818,76561199557907229,shawty#)$@
,,,144818,76561198049602148,Moon
-39.19677,0.0,2.3992703,144818,76561199068251294,prosto bo$$
93.55712,0.0,4.0413857,144818,76561198171814417,Faat
165.62042,0.0,-4.5759516,144818,76561199052717313,Worfy
,,,144819,76561199256543526,Wybaczam.oficjalnie skins.army
-86.402016,0.0,5.767415,144819,76561199826895670,RME | Пацан
,,,144819,76561198002613044,frees.tyler
,,,144819,76561198274174345,zig
,,,144819,76561199433997570,Simple Dimple skins.army
,,,144819,76561199557907229,shawty#)$@
,,,144819,76561198049602148,Moon
-39.19677,0.0,2.3992703,144819,76561199068251294,prosto bo$$
93.55712,0.0,4.0413857,144819,76561198171814417,Faat
165.62042,0.0,-4.5759516,144819,76561199052717313,Worfy
,,,144820,76561199256543526,Wybaczam.oficjalnie skins.army
-86.402016,0.0,5.767415,144820,76561199826895670,RME | Пацан
,,,144820,76561198002613044,frees.tyler
,,,144820,76561198274174345,zig
,,,144820,76561199433997570,Simple Dimple skins.army
,,,144820,76561199557907229,shawty#)$@
,,,144820,76561198049602148,Moon
-39.19677,0.0,2.3992703,144820,76561199068251294,prosto bo$$
93.55712,0.0,4.0413857,144820,76561198171814417,Faat
165.62042,0.0,-4.5759516,144820,76561199052717313,Worfy
,,,144821,76561199256543526,Wybaczam.oficjalnie skins.army
-86.402016,0.0,5.767415,144821,76561199826895670,RME | Пацан
,,,144821,76561198002613044,frees.tyler
,,,144821,76561198274174345,zig
,,,144821,76561199433997570,Simple Dimple skins.army
,,,144821,76561199557907229,shawty#)$@
,,,144821,76561198049602148,Moon
-39.19677,0.0,2.3992703,144821,76561199068251294,prosto bo$$
93.55712,0.0,4.0413857,144821,76561198171814417,Faat
165.62042,0.0,-4.5759516,144821,76561199052717313,Worfy
,,,144822,76561199256543526,Wybaczam.oficjalnie skins.army
-86.402016,0.0,5.767415,144822,76561199826895670,RME | Пацан
,,,144822,76561198002613044,frees.tyler
,,,144822,76561198274174345,zig
,,,144822,76561199433997570,Simple Dimple skins.army
,,,144822,76561199557907229,shawty#)$@
,,,144822,76561198049602148,Moon
