defindex,item,silent,tick,user_name,user_steamid
7,ak47,False,136697,Wybaczam.oficjalnie skins.army,76561199256543526
50,vest,False,136720,Wybaczam.oficjalnie skins.army,76561199256543526
45,smokegrenade,False,136722,frees.tyler,76561198002613044
48,incgrenade,False,136737,Worfy,76561199052717313
48,incgrenade,False,136743,frees.tyler,76561198002613044
2,elite,False,136745,prosto bo$$,76561199068251294
51,vesthelm,False,136748,RME | Пацан,76561199826895670
51,vesthelm,False,136749,Simple Dimple skins.army,76561199433997570
43,flashbang,False,136761,Wybaczam.oficjalnie skins.army,76561199256543526
40,ssg08,False,136775,RME | Пацан,76561199826895670
51,vesthelm,False,136775,Worfy,76561199052717313
45,smokegrenade,False,136798,RME | Пацан,76561199826895670
55,defuser,False,136799,Worfy,76561199052717313
51,vesthelm,False,136800,prosto bo$$,76561199068251294
43,flashbang,False,136818,RME | Пацан,76561199826895670
4,glock,False,136841,prosto bo$$,76561199068251294
33,mp7,False,136909,Simple Dimple skins.army,76561199433997570
49,c4,False,136939,prosto bo$$,76561199068251294
45,smokegrenade,False,136948,Simple Dimple skins.army,76561199433997570
44,hegrenade,False,136961,Simple Dimple skins.army,76561199433997570
46,molotov,False,136978,Simple Dimple skins.army,76561199433997570
40,ssg08,False,137028,prosto bo$$,76561199068251294
46,molotov,False,137290,prosto bo$$,76561199068251294
44,hegrenade,False,137300,prosto bo$$,76561199068251294
43,flashbang,False,137571,Simple Dimple skins.army,76561199433997570
43,flashbang,False,137581,Simple Dimple skins.army,76561199433997570
44,hegrenade,False,137617,Simple Dimple skins.army,76561199433997570
45,smokegrenade,False,137643,Simple Dimple skins.army,76561199433997570
48,incgrenade,False,137678,zig,76561198274174345
49,c4,False,141764,RME | Пацан,76561199826895670
60,m4a1,True,142714,RME | Пацан,76561199826895670
43,flashbang,False,143567,RME | Пацан,76561199826895670
40,ssg08,False,143667,RME | Пацан,76561199826895670
