canzoom,defindex,hassilencer,hastracers,ispainted,issilenced,item,tick,user_name,user_steamid,weptype
False,0,False,False,False,False,knife,10067,Faat,76561198171814417,0
False,0,False,False,False,False,flashbang,10068,frees.tyler,76561198002613044,9
True,0,False,True,False,False,ssg08,10076,Faat,76561198171814417,5
False,0,False,False,False,False,flashbang,10111,Moon,76561198049602148,9
False,0,False,False,False,False,smokegrenade,10124,Moon,76561198049602148,9
False,0,False,True,True,False,mp7,10136,Moon,76561198049602148,2
False,0,False,False,False,False,smokegrenade,10163,Moon,76561198049602148,9
False,0,False,True,True,False,deagle,10182,RME | Пацан,76561199826895670,1
False,0,False,False,False,False,knife,10203,Faat,76561198171814417,0
True,0,False,True,False,False,ssg08,10211,Faat,76561198171814417,5
False,0,False,True,False,False,mp9,10254,shawty#)$@,76561199557907229,2
False,0,False,True,True,False,mp7,10288,Moon,76561198049602148,2
False,0,False,True,True,False,mac10,10306,frees.tyler,76561198002613044,2
False,0,False,False,False,False,knife,10312,shawty#)$@,76561199557907229,0
False,0,False,False,True,False,knife,10316,Worfy,76561199052717313,0
False,0,False,False,False,False,hegrenade,10366,frees.tyler,76561198002613044,9
False,0,False,True,True,False,mac10,10384,frees.tyler,76561198002613044,2
False,0,False,True,True,False,tec9,10436,zig,76561198274174345,1
False,0,False,False,False,False,hegrenade,10444,frees.tyler,76561198002613044,9
False,0,False,False,False,False,c4,10465,zig,76561198274174345,7
False,0,False,True,True,False,tec9,10480,zig,76561198274174345,1
False,0,False,True,True,False,mac10,10485,frees.tyler,76561198002613044,2
False,0,False,False,False,False,hegrenade,10500,frees.tyler,76561198002613044,9
False,0,False,True,True,False,mac10,10510,frees.tyler,76561198002613044,2
False,0,False,True,True,False,glock,10615,Faat,76561198171814417,1
True,0,False,True,False,False,ssg08,10621,Faat,76561198171814417,5
False,0,False,False,False,False,hegrenade,10622,frees.tyler,76561198002613044,9
False,0,True,True,True,True,hkp2000,10625,Simple Dimple skins.army,76561199433997570,1
False,0,False,False,False,False,knife,10627,Simple Dimple skins.army,76561199433997570,0
False,0,False,False,False,False,knife,10644,Faat,76561198171814417,0
