angles_x,angles_y,angles_z,attack_type,ent_origin_x,ent_origin_y,ent_origin_z,inaccuracy,item_def_index,mode,num_bullets_remaining,origin_x,origin_y,origin_z,player,player_inair,player_scoped,recoil_index,round,seed,sound_dsp_effect,sound_type,spread,tick,user_name,user_steamid,weapon_id
0.58567846,-95.60455,0.0,0,-1860.8687,2571.2122,33.906483,0.007866233,9,1,5,-1861.3713,2571.2622,97.11627,3473876,,,0.0,7,426196300,2005810340,2,0.0002,42077,RME | Пацан,76561199826895670,6242719
3.156571,-108.38722,0.0,0,-147.24861,1384.42,-0.21557689,0.006410161,7,0,30,-146.02573,1384.0554,63.66261,13189600,,,0.0,7,3434097219,1605961519,2,0.0006,42232,Simple Dimple skins.army,76561199433997570,4456765
3.2788608,-108.49574,-2.0082004e-08,0,-147.66592,1384.5443,-0.21451116,0.010748584,7,0,29,-147.66592,1384.5443,63.66049,13189600,,,1.0,7,4147773859,1605961519,2,0.0006,42238,Simple Dimple skins.army,76561199433997570,4456765
5.3555007,-108.376274,-2.6431586e-05,0,-147.66592,1384.5443,-0.21451116,0.012532845,7,0,28,-147.66592,1384.5443,63.660492,13189600,,,2.0,7,3464343810,1605961519,2,0.0006,42245,Simple Dimple skins.army,76561199433997570,4456765
5.2848825,-108.533295,-2.085081e-09,0,-147.36139,1384.443,-0.21535087,0.014675684,7,0,27,-147.66592,1384.5443,63.660492,13189600,,,3.0,7,2346981802,1605961519,2,0.0006,42251,Simple Dimple skins.army,76561199433997570,4456765
-2.0431242,-154.54942,0.0,0,-740.6279,1462.2827,-112.05058,0.0049,16,0,30,-740.5679,1462.1218,-48.269814,3031120,,,0.0,7,3665924216,2420502755,2,0.0006,42434,Wybaczam.oficjalnie skins.army,76561199256543526,9289813
2.4546845,-155.76483,0.00023595536,0,-741.85315,1464.9958,-111.98866,0.008602552,16,0,29,-741.6518,1464.5548,-48.21882,3031120,,,1.0,7,4075688196,2420502755,2,0.0006,42440,Wybaczam.oficjalnie skins.army,76561199256543526,9289813
1.0911815,20.115881,0.0,0,-1125.937,1332.6165,-111.03718,0.025874015,33,0,30,-1125.937,1330.6495,-47.6657,13418998,,,0.0,7,3335705433,2420502755,2,0.0006,42445,Faat,76561198171814417,15827082
4.657669,-160.15842,7.07151e-08,0,-741.69586,1464.4926,-112.01624,0.010560966,16,0,28,-741.8209,1464.8402,-48.21769,3031120,,,2.0,7,2618724140,2420502755,2,0.0006,42446,Wybaczam.oficjalnie skins.army,76561199256543526,9289813
1.3601643,17.371965,5.5143223e-10,0,-1126.5122,1339.8752,-111.05794,0.011445045,33,0,29,-1126.3975,1339.1218,-47.714325,13418998,,,1.0,7,1859712185,2420502755,2,0.0006,42450,Faat,76561198171814417,15827082
3.5175798,-161.48972,-1.5473295e-06,0,-740.89557,1462.1707,-112.04845,0.012087915,16,0,27,-741.08014,1462.7119,-48.260086,3031120,,,3.0,7,1693808705,2420502755,2,0.0006,42452,Wybaczam.oficjalnie skins.army,76561199256543526,9289813
0.67519134,13.879193,-6.181929e-05,0,-1127.523,1345.0245,-111.1135,0.012213213,33,0,28,-1127.2645,1343.8035,-47.743134,13418998,,,2.0,7,3046042560,2420502755,2,0.0006,42456,Faat,76561198171814417,15827082
2.3871574,-162.10939,-2.8565676e-08,0,-740.2444,1460.2067,-112.05365,0.014179416,16,0,26,-740.3285,1460.4641,-48.302982,3031120,,,4.0,7,879350646,2420502755,2,0.0006,42457,Wybaczam.oficjalnie skins.army,76561199256543526,9289813
1.0243862,14.45048,-2.8757746e-05,0,-1128.4724,1349.1384,-111.20233,0.012912106,33,0,27,-1128.1344,1347.7192,-47.77498,13418998,,,3.0,7,4292638881,2420502755,2,0.0006,42461,Faat,76561198171814417,15827082
1.6583414,-163.91843,4.0806834e-05,0,-739.3229,1457.3473,-112.06103,0.015144186,16,0,25,-739.4407,1457.7179,-48.370087,3031120,,,5.0,7,559096863,2420502755,2,0.0006,42463,Wybaczam.oficjalnie skins.army,76561199256543526,9289813
2.2024794,15.057573,-0.00013138136,0,-1129.5416,1353.4591,-111.29487,0.013375377,33,0,26,-1129.2666,1352.3684,-47.83406,13418998,,,4.0,7,3852171774,2420502755,2,0.0006,42466,Faat,76561198171814417,15827082
1.1154733,-164.84421,8.931471e-08,0,-738.6241,1454.9927,-112.06662,0.015751291,16,0,24,-738.7378,1455.3871,-48.423832,3031120,,,6.0,7,3599891647,2420502755,2,0.0006,42469,Wybaczam.oficjalnie skins.army,76561199256543526,9289813
0.38043547,-164.37416,-1.8087233e-06,0,-737.9102,1452.4369,-112.072334,0.016133323,16,0,23,-738.08124,1453.0554,-48.48784,3031120,,,7.0,7,3795479171,2420502755,2,0.0006,42475,Wybaczam.oficjalnie skins.army,76561199256543526,9289813
1.2659903,-165.63853,-1.408457e-06,0,-737.2118,1449.8356,-112.07792,0.017294567,16,0,22,-737.291,1450.1406,-48.58416,3031120,,,8.0,7,2620545569,2420502755,2,0.0006,42480,Wybaczam.oficjalnie skins.army,76561199256543526,9289813
3.5473747,-166.75404,-2.6333903e-06,0,-736.3689,1446.3198,-112.08466,0.01710447,16,0,21,-736.47974,1446.8124,-48.680653,3031120,,,9.0,7,3189155403,2420502755,2,0.0006,42486,Wybaczam.oficjalnie skins.army,76561199256543526,9289813
3.078034,-167.2333,3.2959401e-06,0,-735.53876,1442.3793,-112.10384,0.016984843,16,0,20,-735.6842,1443.0919,-48.808266,3031120,,,10.0,7,671572855,2420502755,2,0.0006,42492,Wybaczam.oficjalnie skins.army,76561199256543526,9289813
2.8523264,-168.04239,7.004724e-06,0,-734.66675,1438.022,-112.28016,0.016909566,16,0,19,-734.8589,1438.9886,-48.93295,3031120,,,11.0,7,2525271003,2420502755,2,0.0006,42498,Wybaczam.oficjalnie skins.army,76561199256543526,9289813
4.1887045,38.79687,0.0,0,-1068.2225,1294.5577,-111.81331,0.030268649,17,0,30,-1064.4567,1288.9817,-47.97244,10928638,,,0.0,7,681987264,2420502755,2,0.0006,42517,Worfy,76561199052717313,9748926
3.2812028,29.162035,-5.389473e-05,0,-1078.3195,1309.7297,-111.96875,0.032688946,17,0,29,-1074.0931,1303.2515,-48.00315,10928638,,,1.0,7,4120015053,2420502755,2,0.0006,42522,Worfy,76561199052717313,9748926
