attacker_slot,damage,hit_group,is_kill,penetration_count,round,tick,victim_pos_x,victim_pos_y,victim_pos_z,victim_slot
2,14,2,False,0,10,66624,-1155.71,1378.7732,-111.36232,6
2,13,2,False,0,10,66634,-1155.9221,1379.8751,-111.348755,6
6,110,1,True,0,10,66636,-665.75824,1422.4419,-113.358315,2
7,110,2,True,0,10,66871,363.27,2367.0955,95.617325,1
7,109,2,True,0,11,67752,333.98755,1902.6779,96.8134,3
5,8,7,False,0,11,70309,540.5817,2140.3052,127.04419,8
5,7,2,False,0,11,70655,-109.02235,2175.196,-127.15235,8
5,7,2,False,0,11,70661,-126.5315,2168.3848,-126.70119,8
5,8,2,False,0,11,70667,-146.0226,2163.37,-126.391846,8
5,8,7,True,0,11,70673,-163.53508,2161.631,-106.406525,8
9,5,2,False,0,11,70781,750.2561,2282.5083,-48.22222,5
9,7,3,False,0,11,70899,615.0834,2379.9373,67.03125,5
9,6,3,True,0,11,70950,557.59564,2381.558,127.03125,5
1,21,8,False,0,11,72114,-349.7851,2376.7097,-100.532326,6
1,22,2,False,0,11,72125,-344.20215,2372.6704,-101.53654,6
1,18,6,False,0,11,72188,-337.06293,2360.7092,-93.54082,6
1,19,7,False,0,11,72225,-350.02417,2330.0894,-72.58306,6
4,50,3,True,0,11,72233,-355.96735,2322.8044,-107.88,6
9,114,5,True,0,11,72728,-301.87317,2200.0671,-125.540794,1
0,60,7,False,0,11,73051,1304.5294,2634.8052,137.30533,7
0,7,2,False,1,11,73240,1184.6241,2625.8425,96.555534,7
0,34,2,False,1,11,74032,1272.5299,2038.5901,1.4977813,9
7,112,2,True,0,11,74244,319.45535,2114.5173,97.610115,3
0,67,2,True,0,11,75189,-722.67035,2254.5083,-114.161514,7
4,35,2,False,0,11,75281,-1357.6102,2679.9893,130.03125,9
2,47,1,True,0,12,75381,-1378.4951,2773.5432,17.556707,9
5,7,3,False,0,12,78281,-68.00572,1408.0754,-0.41293153,8
5,5,2,False,0,12,78319,-109.409004,1423.7144,-0.4262415,8
6,26,2,False,0,12,78447,-1618.1998,646.2916,32.04365,2
2,110,1,True,0,12,78457,-1670.3806,908.5028,30.693777,6
8,427,1,True,0,12,79961,1423.2654,508.2098,-99.924904,0
5,89,1,False,0,12,80228,269.56952,1511.5049,1.9292157,4
5,25,2,True,0,12,80234,289.2091,1508.0664,1.8488089,4
5,26,2,False,0,12,80270,259.4873,1377.0869,0.2273862,1
5,25,2,True,0,12,80277,264.44653,1374.972,0.24850635,1
3,26,4,False,0,12,81734,1269.7507,2561.908,136.8878,7
3,26,3,False,1,12,81756,1246.2224,2563.7397,127.03125,7
7,37,2,False,0,12,84422,867.5975,2438.1057,127.03125,8
9,76,1,False,0,13,87986,1077.5579,2769.3599,114.61164,1
3,26,2,False,0,13,88011,1752.9044,1880.8804,2.0883803,8
3,105,1,True,0,13,88034,1780.7057,1925.3307,2.9952796,8
6,16,6,False,0,13,88218,668.30774,2531.007,145.70172,1
5,22,2,True,0,13,88255,583.73285,2514.4226,96.17848,1
4,28,2,False,0,13,88375,1549.2682,2102.8904,-9.898503,6
3,32,3,False,0,13,88394,1778.8694,1885.2076,2.5973036,9
4,113,1,True,0,13,88395,1548.255,2145.5212,-9.7747755,6
5,81,1,False,0,13,88406,384.65366,2535.6914,95.83427,3
5,82,1,True,0,13,88428,373.9031,2512.4246,96.06002,3
9,14,2,False,0,13,88489,-539.97003,2231.2595,-119.81423,0
4,27,2,False,0,13,88524,1782.2351,2090.6284,3.887689,9
4,27,5,False,0,13,88567,1778.5176,2152.086,3.8771915,9
9,76,1,False,0,13,88584,406.2341,2058.4873,96.03125,4
4,27,2,True,0,13,88631,1774.7106,2199.5479,3.8535447,9
0,25,5,False,0,13,88643,1426.6454,2030.4587,-9.2139015,5
5,16,2,False,0,13,88643,-374.02005,2140.203,-127.91243,0
5,17,2,False,0,13,88657,-338.97754,2142.3093,-127.82736,0
0,25,2,False,0,13,88696,1425.7537,2013.84,-9.247662,5
5,17,2,False,0,13,88716,-328.2744,2202.2454,-125.50062,0
5,21,3,False,0,13,88730,-327.0684,2214.5823,-124.80017,0
7,22,2,False,0,13,89362,361.4894,2538.3677,96.338425,2
5,20,2,False,0,13,89376,369.39832,2569.9055,96.13677,2
7,22,2,False,0,13,89420,369.968,2622.1694,96.342026,2
2,29,2,False,0,13,89427,1316.7576,2604.1108,90.76722,7
7,22,2,False,0,13,89450,395.06937,2635.622,96.019646,2
7,22,2,True,0,13,89470,407.81323,2656.829,96.045364,2
7,70,1,True,0,13,90150,1445.9219,939.389,-8.137938,0
4,122,1,True,0,13,90340,691.97784,2598.151,94.55831,7
5,97,1,True,0,14,90348,405.35492,1916.7881,96.03124,4
5,108,4,True,0,14,92291,-392.29218,2213.2017,-122.90531,4
8,37,1,False,0,14,92914,-1002.2045,2400.2478,-25.042482,0
8,11,3,False,0,14,92914,-1002.2045,2400.2478,-25.042482,0
8,12,3,False,0,14,92936,-992.95404,2383.9612,-32.252884,0
0,13,4,False,1,14,93135,-2058.4626,2038.7847,1.1125914,9
9,16,1,False,1,14,93147,-974.31494,2319.3953,-48.541092,0
9,34,1,True,1,14,93170,-970.82416,2305.1033,-51.413265,0
9,16,3,False,1,14,94148,94.76224,2354.2283,-66.56485,3
2,12,5,False,0,14,94180,-406.58176,2264.235,-116.988625,8
2,16,3,False,0,14,94206,-407.98306,2301.92,-111.64648,8
3,84,1,False,0,14,94420,-477.25308,2062.4556,-124.755005,9
5,113,2,True,0,14,94659,-411.1996,1632.2152,-126.02514,1
7,39,2,False,0,14,94715,214.82741,2256.2737,-125.255135,3
3,123,1,True,0,14,94747,-767.6133,2110.606,-110.18765,7
5,114,2,True,0,14,95075,-35.490166,2060.4712,-124.08636,3
6,12,3,False,0,14,95627,-560.08606,2397.0208,-99.47213,5
2,30,2,False,0,14,97535,-1882.0764,1121.1836,32.567253,5
2,31,2,False,0,14,97553,-1852.0627,1094.3951,33.079857,5
2,30,2,True,0,14,97569,-1840.5137,1078.1504,34.6019,5
2,16,2,True,0,14,97763,-1562.4252,1233.7308,37.185818,9
2,20,2,False,0,15,101000,-165.54608,968.54297,1.459719,6
2,20,2,False,0,15,101006,-169.08856,987.93207,1.4712782,6
2,21,2,False,0,15,101018,-168.99014,1003.7436,1.5442504,6
2,20,4,False,0,15,101023,-170.04543,1008.676,1.5470268,6
2,21,2,True,0,15,101029,-171.4472,1013.29517,1.5507169,6
3,24,2,False,0,15,101603,664.28345,803.6991,0.45646453,9
9,26,2,False,0,15,101610,1468.2367,1328.4083,-11.371796,3
9,27,2,False,0,15,101617,1470.4679,1325.4653,-11.203425,3
3,30,3,False,0,15,101622,654.87604,820.59424,0.3183179,9
9,27,2,False,0,15,101630,1466.9736,1331.0226,-11.398688,3
9,27,2,True,0,15,101636,1463.4216,1336.6545,-11.443062,3
4,12,5,False,0,15,102271,1254.3837,1295.3823,1.0837631,9
4,16,3,False,0,15,102311,1264.2198,1279.9958,1.047196,9
4,16,3,False,0,15,102315,1269.462,1279.7446,0.0062976084,9
9,34,2,False,0,15,102317,1285.8652,2063.5522,1.031249,4
4,50,1,True,0,15,102324,1269.5483,1279.7363,0.0063233376,9
